user,location,content,time
DR_E_A_M,,RT @irepan_salvador: 😊🎉Happy after giving a summary talk in #RECOMB2020 on the @AllenInstitute  @DR_E_A_M challenge on cell lineage reconst…,2020-06-25 17:54:28
victor_snail,,RT @EvolutionQuant: tomorrow I am giving a talk on our latest advancements on popgen estimates from NGS data at the ongoing #RECOMB2020 as…,2020-06-25 17:29:52
CamilleMrcht,,RT @ekimbariscan: Bioinformatics tweeps! Anyone have a recording of Pavel Pevzner's talk at #RECOMB2020 yesterday? I got distracted by work…,2020-06-25 17:01:16
CamilleMrcht,,RT @pashadag: Check out our latest work with @IliaMinkin #RECOMB2020,2020-06-25 16:46:46
BQPMalfoy,"Lille, France",RT @pashadag: Check out our latest work with @IliaMinkin #RECOMB2020 https://t.co/vF1EfZv3aR,2020-06-25 16:30:31
dany2k,Bielefeld,RT @pashadag: Check out our latest work with @IliaMinkin #RECOMB2020,2020-06-25 16:16:35
pashadag,Penn State University,Check out our latest work with @IliaMinkin #RECOMB2020 https://t.co/vF1EfZv3aR,2020-06-25 16:03:08
abhi_ratnakumar,New York,Very interesting! Gene prioritization without using in-sample data. Significant genes identified this way are much… https://t.co/Z4HCWO6JoO,2020-06-25 16:00:44
abhi_ratnakumar,New York,Hypothesis: More deleterious variants on down-regulated haplotypes compared to up-regulated haplotypes (up-regulate… https://t.co/WBW0OVw0gB,2020-06-25 15:49:07
tonzani,"New York, NY",@Rbaltman on now @recomb2020 on why ancestry matters for your reactions to drugs. 14% of people predicted to have u… https://t.co/7RHiwkFiJt,2020-06-25 15:30:55
abhi_ratnakumar,New York,Analysis of UKBiobank data suggests that each individual has on average of 12 drugs for which unusual response might be expected #RECOMB2020,2020-06-25 15:26:20
leon_anavy,"Haifa, Israel","RT @tonzani: @leon_anavy on now @recomb2020 . Not #computationalbiology, but biological computation. Storing info in DNA . Exciting field t…",2020-06-25 15:25:06
gm_enah,Mexico,RT @EvolutionQuant: tomorrow I am giving a talk on our latest advancements on popgen estimates from NGS data at the ongoing #RECOMB2020 as…,2020-06-25 15:19:42
abhi_ratnakumar,New York,"""Pharmacogenetics: variation in drug response due to genetic differences"" #RECOMB2020",2020-06-25 15:07:46
CamilleMrcht,,"#RECOMB2020 organizers, will we be able to get/download the recordings of the talks afterwards (when authors agreed)?",2020-06-25 15:06:06
wormlab_eu,Home!,RT @irepan_salvador: 😊🎉Happy after giving a summary talk in #RECOMB2020 on the @AllenInstitute  @DR_E_A_M challenge on cell lineage reconst…,2020-06-25 14:47:50
hdeshmuk,,RT @StevenSalzberg1: Listening to Pavel Pevzner's exciting keynote talk at #RECOMB2020: who knew that proteins (peptides) occurred in circu…,2020-06-25 14:47:39
