user,location,content,time
bjoerngruening,,"RT @pratikomics: The @usegalaxyp team along with @shiltemann will be presenting a workshop on ""Adding Fun(ction) to #microbiome Analysis: #…",2020-07-15 05:25:54
galaxyproject,Penn State | Johns Hopkins | OHSU | Cleveland Clinic,"RT @pratikomics: The @usegalaxyp team along with @shiltemann will be presenting a workshop on ""Adding Fun(ction) to #microbiome Analysis: #…",2020-07-15 02:23:27
galaxyproject,Penn State | Johns Hopkins | OHSU | Cleveland Clinic,"RT @serghei_mangul: Very proud of our team to present 3 talks at #BCC2020 
- @jaquejbrito (postdoc)
- @shwaxter (undergrad)
- Varuni (incom…",2020-07-15 02:22:54
shwaxter,Oakland — Los Angeles,"RT @serghei_mangul: Very proud of our team to present 3 talks at #BCC2020 
- @jaquejbrito (postdoc)
- @shwaxter (undergrad)
- Varuni (incom…",2020-07-15 01:14:55
stevetsa1,,"RT @ucscgenomics: Coming up: @UCSC_BSOE's @geezlooueez, @easheets &amp;  @BroadInstitute collaborators will lead a #BCC2020 workshop 7/18 on re…",2020-07-15 00:27:01
serghei_mangul,Santa Monica,"Very proud of our team to present 3 talks at #BCC2020 
- @jaquejbrito (postdoc)
- @shwaxter (undergrad)
- Varuni (i… https://t.co/0i8knU63lX",2020-07-14 23:27:05
usegalaxyp,"Minneapolis, MN","RT @pratikomics: The @usegalaxyp team along with @shiltemann will be presenting a workshop on ""Adding Fun(ction) to #microbiome Analysis: #…",2020-07-14 22:02:47
shiltemann,,"RT @pratikomics: The @usegalaxyp team along with @shiltemann will be presenting a workshop on ""Adding Fun(ction) to #microbiome Analysis: #…",2020-07-14 19:34:00
biocrusoe,,"RT @galaxyproject: #BCC2020 Registration closes in ~36 hours.  About 20% of training sessions are full, but there is still space in all oth…",2020-07-14 19:10:30
pvanheus,"Cape Town, South Africa","RT @galaxyproject: #BCC2020 Registration closes in ~36 hours.  About 20% of training sessions are full, but there is still space in all oth…",2020-07-14 19:07:24
galaxyproject,Penn State | Johns Hopkins | OHSU | Cleveland Clinic,"#BCC2020 Registration closes in ~36 hours.  About 20% of training sessions are full, but there is still space in al… https://t.co/0jedIXQntx",2020-07-14 19:01:00
pratikomics,"Maple Grove, MN","The @usegalaxyp team along with @shiltemann will be presenting a workshop on ""Adding Fun(ction) to #microbiome Anal… https://t.co/kt1MKnBiv6",2020-07-14 17:14:41
galaxyproject,Penn State | Johns Hopkins | OHSU | Cleveland Clinic,"RT @ucscgenomics: Coming up: @UCSC_BSOE's @geezlooueez, @easheets &amp;  @BroadInstitute collaborators will lead a #BCC2020 workshop 7/18 on re…",2020-07-14 16:30:33
ucscgenomics,"Santa Cruz, California, USA","Coming up: @UCSC_BSOE's @geezlooueez, @easheets &amp;  @BroadInstitute collaborators will lead a #BCC2020 workshop 7/18… https://t.co/eMvd5vn2oK",2020-07-14 14:54:43
think_za,South Africa,RT @galaxyproject: Early registration for #BCC2020 has ended. But you can still register for it through July 15 (and it's still affordable)…,2020-07-14 09:09:57
think_za,South Africa,"RT @galaxyproject: #BCC2020 has 19 Birds of a Feather meetups, from Board Games Social through Computational Chemistry https://t.co/UJIiPYU…",2020-07-14 08:43:13
aprilolaivar,"Davao City, Davao Region","RT @bccdvo_official: #BCC2020 
#BCCWeGatherWeScatter https://t.co/YcQHezd4dd",2020-07-14 03:35:15
sr_stephanie,Rio de Janeiro,Counting down the days to #BCC2020 @galaxyproject @tnabtaf,2020-07-14 03:10:30
EAdamolekun,,@OBF_BOSC @galaxyproject Yes. David has been in touch with me. I observed I registered for the conference with an i… https://t.co/dKjrG0jfZp,2020-07-13 19:33:39
natefoo,"State College, PA","RT @galaxyproject: #BCC2020 has 19 Birds of a Feather meetups, from Board Games Social through Computational Chemistry https://t.co/UJIiPYU…",2020-07-13 18:21:16
OBF_BOSC,,"RT @galaxyproject: #BCC2020 has 19 Birds of a Feather meetups, from Board Games Social through Computational Chemistry https://t.co/UJIiPYU…",2020-07-13 17:57:54
galaxyproject,Penn State | Johns Hopkins | OHSU | Cleveland Clinic,"#BCC2020 has 19 Birds of a Feather meetups, from Board Games Social through Computational Chemistry… https://t.co/NGBHT3V8jX",2020-07-13 17:27:25
boi_kone,,RT @tnabtaf: People! We got one more BoF proposal for #BCC2020 since this went out (but it was a spectacular proposal :-). As long as it's…,2020-07-13 15:02:34
MustiBello,"Bauchi State, Nigeria",RT @babasaraki01: Very excited to have been awarded Galaxy Community Fund Fellowship to participate in #BCC2020. A very huge thanks to the…,2020-07-13 13:27:05
Jiab77,Suisse,"RT @bjoerngruening: Are you interested in single-cell RNA data analysis?
Join our #BCC2020 #training by Mehmet Tekman and @hrhotz! More inf…",2020-07-13 12:55:41
bebatut,"Freiburg im Breisgau, Germany","RT @bjoerngruening: Are you interested in single-cell RNA data analysis?
Join our #BCC2020 #training by Mehmet Tekman and @hrhotz! More inf…",2020-07-13 11:57:49
CI4CB,"Yverdon-les-Bains, Suisse","RT: ISBSIB: RT bjoerngruening: Are you interested in single-cell RNA data analysis?
Join our #BCC2020 #training by… https://t.co/0uhixyjC1b",2020-07-13 10:44:05
CVillacortaRath,,RT @LeganaFingerhut: Code yedi @iracooke is presenting Command Line Essentials for Bioinformaticians at BCC2020 https://t.co/hLtX6yw1kS #BC…,2020-07-13 10:31:31
ISBSIB,Switzerland,"RT @bjoerngruening: Are you interested in single-cell RNA data analysis?
Join our #BCC2020 #training by Mehmet Tekman and @hrhotz! More inf…",2020-07-13 10:25:33
JanStrugnell,"Townsville, Queensland",RT @LeganaFingerhut: Code yedi @iracooke is presenting Command Line Essentials for Bioinformaticians at BCC2020 https://t.co/hLtX6yw1kS #BC…,2020-07-13 09:53:22
Yvan2935,Concarneau,"RT @bjoerngruening: Are you interested in single-cell RNA data analysis?
Join our #BCC2020 #training by Mehmet Tekman and @hrhotz! More inf…",2020-07-13 09:33:40
galaxyproject,Penn State | Johns Hopkins | OHSU | Cleveland Clinic,RT @LeganaFingerhut: Code yedi @iracooke is presenting Command Line Essentials for Bioinformaticians at BCC2020 https://t.co/hLtX6yw1kS #BC…,2020-07-13 08:57:05
hrhotz,,RT @galaxyproject: Early registration for #BCC2020 has ended. But you can still register for it through July 15 (and it's still affordable)…,2020-07-13 07:50:17
hrhotz,,"RT @bjoerngruening: And here is #cellxgene in #usegalaxy in action. 
Join #BCC2020 it will be awesome! 

https://t.co/x0fdvVhb8s",2020-07-13 06:55:12
hrhotz,,"RT @bjoerngruening: Are you interested in single-cell RNA data analysis?
Join our #BCC2020 #training by Mehmet Tekman and @hrhotz! More inf…",2020-07-13 06:43:23
Ralf_Gilsbach,Frankfurt,"RT @bjoerngruening: And here is #cellxgene in #usegalaxy in action. 
Join #BCC2020 it will be awesome! 

https://t.co/x0fdvVhb8s",2020-07-13 05:55:21
